Product URL,Product Name,Product Price,Rating,Number of reviews,Page Number,Manufacturer,ASIN
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4OTAzMTE4NDA3MzUwNDQyOjE3MjM4MDY3NzI6c3BfbXRmOjMwMDAyNTc0MzAxNDUzMjo6MDo6&url=%2FEUME-Black-Laptop-Backpack-2400011_A_BuyMore%2Fdp%2FB07JQ4P6HZ%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26dib%3DeyJ2IjoiMSJ9.De1OaHOEXBMgBhtW0zwASol9chUDHJmxNJRHq_c4r6DatFZnsoXTLwBs7rBLhZxYaNk6HkhhxSX0RZ-yPEZ1jYsTRp0QSpadZXnD8NY7gu5mtvnWLTW-7mMdlKCVPjnffZpRJRTHxiUzkQcrfuTdGyimo3GZjVkF8uqYGwYEfGZeLjcyBU5A9lkQ_fHHo3QqlXGA5hypSkN5qFD-PFmQOPTP-r5mkNCuQBc_Npajq3c.l_G2fKAm3svPsCWZC1ThOWaAdn2gfVvAQVET7hq2YmM%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1723806771%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,EUME Alexis 31 Ltrs Laptop Backpack for Office & Travel Use for Men & Women | Water Resistance Bag | Fit Up to 15.6-inch,"₹2,199",4.0 out of 5 stars,67,3,,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4OTAzMTE4NDA3MzUwNDQyOjE3MjM4MDY3NzI6c3BfbXRmOjMwMDA2ODM4MzU1OTAzMjo6MDo6&url=%2FCARRIZ-Travel-Backpack-Versatile-Professionals%2Fdp%2FB0CJCHKN92%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26dib%3DeyJ2IjoiMSJ9.De1OaHOEXBMgBhtW0zwASol9chUDHJmxNJRHq_c4r6DatFZnsoXTLwBs7rBLhZxYaNk6HkhhxSX0RZ-yPEZ1jYsTRp0QSpadZXnD8NY7gu5mtvnWLTW-7mMdlKCVPjnffZpRJRTHxiUzkQcrfuTdGyimo3GZjVkF8uqYGwYEfGZeLjcyBU5A9lkQ_fHHo3QqlXGA5hypSkN5qFD-PFmQOPTP-r5mkNCuQBc_Npajq3c.l_G2fKAm3svPsCWZC1ThOWaAdn2gfVvAQVET7hq2YmM%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1723806771%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"CARRIZ Travel Backpack - Versatile Laptop Backpack for Men and Women, Ideal for Students and Professionals, Office and College Use, Fits up to 15.6 Inch Laptop, 25 Litre Capacity",₹799,4.4 out of 5 stars,84,3,,
https://www.amazon.in/AmazonBasics-Mini-Backpack-Outdoor-Metallic/dp/B0BRKH9LSW/ref=sr_1_13?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.De1OaHOEXBMgBhtW0zwASol9chUDHJmxNJRHq_c4r6DatFZnsoXTLwBs7rBLhZxYaNk6HkhhxSX0RZ-yPEZ1jYsTRp0QSpadZXnD8NY7gu5mtvnWLTW-7mMdlKCVPjnffZpRJRTHxiUzkQcrfuTdGyimo3GZjVkF8uqYGwYEfGZeLjcyBU5A9lkQ_fHHo3QqlXGA5hypSkN5qFD-PFmQOPTP-r5mkNCuQBc_Npajq3c.l_G2fKAm3svPsCWZC1ThOWaAdn2gfVvAQVET7hq2YmM&dib_tag=se&keywords=bags&qid=1723806771&sprefix=ba%2Caps%2C283&sr=8-13,AmazonBasics - Mini Backpack for Outdoor Use (12 l) (Metallic Grey),₹279,3.7 out of 5 stars,"1,972",3,‎IRIS TECH,B0BRKH9LSW
https://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_14?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.De1OaHOEXBMgBhtW0zwASol9chUDHJmxNJRHq_c4r6DatFZnsoXTLwBs7rBLhZxYaNk6HkhhxSX0RZ-yPEZ1jYsTRp0QSpadZXnD8NY7gu5mtvnWLTW-7mMdlKCVPjnffZpRJRTHxiUzkQcrfuTdGyimo3GZjVkF8uqYGwYEfGZeLjcyBU5A9lkQ_fHHo3QqlXGA5hypSkN5qFD-PFmQOPTP-r5mkNCuQBc_Npajq3c.l_G2fKAm3svPsCWZC1ThOWaAdn2gfVvAQVET7hq2YmM&dib_tag=se&keywords=bags&qid=1723806771&sprefix=ba%2Caps%2C283&sr=8-14,Tommy Hilfiger Joshua 21 Ltrs Black Laptop Backpack (TH/JOSHUALAP01),"₹1,759",4.3 out of 5 stars,"1,416",3,,
https://www.amazon.in/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV/ref=sr_1_15?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.De1OaHOEXBMgBhtW0zwASol9chUDHJmxNJRHq_c4r6DatFZnsoXTLwBs7rBLhZxYaNk6HkhhxSX0RZ-yPEZ1jYsTRp0QSpadZXnD8NY7gu5mtvnWLTW-7mMdlKCVPjnffZpRJRTHxiUzkQcrfuTdGyimo3GZjVkF8uqYGwYEfGZeLjcyBU5A9lkQ_fHHo3QqlXGA5hypSkN5qFD-PFmQOPTP-r5mkNCuQBc_Npajq3c.l_G2fKAm3svPsCWZC1ThOWaAdn2gfVvAQVET7hq2YmM&dib_tag=se&keywords=bags&qid=1723806771&sprefix=ba%2Caps%2C283&sr=8-15,Gear Modern Eco5 21L Medium Water Resistant School Bag/Casual Backpack/Daypack/College Bag For Men/Women - Navy Blue,₹379,3.8 out of 5 stars,"3,030",3,,
https://www.amazon.in/Craftwood-Backpack-Waterproof-Aesthetic-Backpacks/dp/B0D58K1N5M/ref=sr_1_16?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.De1OaHOEXBMgBhtW0zwASol9chUDHJmxNJRHq_c4r6DatFZnsoXTLwBs7rBLhZxYaNk6HkhhxSX0RZ-yPEZ1jYsTRp0QSpadZXnD8NY7gu5mtvnWLTW-7mMdlKCVPjnffZpRJRTHxiUzkQcrfuTdGyimo3GZjVkF8uqYGwYEfGZeLjcyBU5A9lkQ_fHHo3QqlXGA5hypSkN5qFD-PFmQOPTP-r5mkNCuQBc_Npajq3c.l_G2fKAm3svPsCWZC1ThOWaAdn2gfVvAQVET7hq2YmM&dib_tag=se&keywords=bags&qid=1723806771&sprefix=ba%2Caps%2C283&sr=8-16,"Craftwood School Backpack for Teen Girls, Boys Waterproof High School Backpack for Student Bookbag College Backpack for Women Men Casual Daypack Travel Aesthetic Backpacks Black",₹699,2.8 out of 5 stars,22,3,,
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_17?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.De1OaHOEXBMgBhtW0zwASol9chUDHJmxNJRHq_c4r6DatFZnsoXTLwBs7rBLhZxYaNk6HkhhxSX0RZ-yPEZ1jYsTRp0QSpadZXnD8NY7gu5mtvnWLTW-7mMdlKCVPjnffZpRJRTHxiUzkQcrfuTdGyimo3GZjVkF8uqYGwYEfGZeLjcyBU5A9lkQ_fHHo3QqlXGA5hypSkN5qFD-PFmQOPTP-r5mkNCuQBc_Npajq3c.l_G2fKAm3svPsCWZC1ThOWaAdn2gfVvAQVET7hq2YmM&dib_tag=se&keywords=bags&qid=1723806771&sprefix=ba%2Caps%2C283&sr=8-17,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹849,4.4 out of 5 stars,"10,088",3,‎Lenovo,B08R7RPVJF
https://www.amazon.in/MEDLER-Aquiver-litres-Waterproof-Strolley/dp/B09V8BDX1N/ref=sr_1_18?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.De1OaHOEXBMgBhtW0zwASol9chUDHJmxNJRHq_c4r6DatFZnsoXTLwBs7rBLhZxYaNk6HkhhxSX0RZ-yPEZ1jYsTRp0QSpadZXnD8NY7gu5mtvnWLTW-7mMdlKCVPjnffZpRJRTHxiUzkQcrfuTdGyimo3GZjVkF8uqYGwYEfGZeLjcyBU5A9lkQ_fHHo3QqlXGA5hypSkN5qFD-PFmQOPTP-r5mkNCuQBc_Npajq3c.l_G2fKAm3svPsCWZC1ThOWaAdn2gfVvAQVET7hq2YmM&dib_tag=se&keywords=bags&qid=1723806771&sprefix=ba%2Caps%2C283&sr=8-18,M MEDLER Aquiver Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag (Beige),₹499,3.4 out of 5 stars,377,3,,
https://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP07/dp/B07N8G742J/ref=sr_1_19?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.De1OaHOEXBMgBhtW0zwASol9chUDHJmxNJRHq_c4r6DatFZnsoXTLwBs7rBLhZxYaNk6HkhhxSX0RZ-yPEZ1jYsTRp0QSpadZXnD8NY7gu5mtvnWLTW-7mMdlKCVPjnffZpRJRTHxiUzkQcrfuTdGyimo3GZjVkF8uqYGwYEfGZeLjcyBU5A9lkQ_fHHo3QqlXGA5hypSkN5qFD-PFmQOPTP-r5mkNCuQBc_Npajq3c.l_G2fKAm3svPsCWZC1ThOWaAdn2gfVvAQVET7hq2YmM&dib_tag=se&keywords=bags&qid=1723806771&sprefix=ba%2Caps%2C283&sr=8-19,Tommy Hilfiger Joshua Polyester 20.61L Laptop Backpack For Unisex - Light Grey,"₹1,579",4.3 out of 5 stars,"1,416",3,,
https://www.amazon.in/Lavie-Sport-Sprinter-Daypack-Compartment/dp/B0CZNRHM2N/ref=sr_1_20?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.De1OaHOEXBMgBhtW0zwASol9chUDHJmxNJRHq_c4r6DatFZnsoXTLwBs7rBLhZxYaNk6HkhhxSX0RZ-yPEZ1jYsTRp0QSpadZXnD8NY7gu5mtvnWLTW-7mMdlKCVPjnffZpRJRTHxiUzkQcrfuTdGyimo3GZjVkF8uqYGwYEfGZeLjcyBU5A9lkQ_fHHo3QqlXGA5hypSkN5qFD-PFmQOPTP-r5mkNCuQBc_Npajq3c.l_G2fKAm3svPsCWZC1ThOWaAdn2gfVvAQVET7hq2YmM&dib_tag=se&keywords=bags&qid=1723806771&sprefix=ba%2Caps%2C283&sr=8-20,Lavie Sport 11 Litres Sprinter Daypack 1 Compartment Unisex Small Casual Bag For Boys & Girls,₹249,3.8 out of 5 stars,283,3,,
